SerialNo,Session_Summary,Cleaned_Summary,Lecture_Label,tsne-2d-one,tsne-2d-two,umap-2d-one,umap-2d-two,Lecture_Name
59,"in this lecture we first learned about population and that sample should be good and representative. our goal is to predict or estimate population from sample and we can use operations like counting ,adding ,subtracting, multiplication and division. also, we have attributes like frequency or count, mode ,median ,mean, standard deviation ,variance if we estimate for population then it is called parameter and if we calculate for sample then it is called statistic. we want to estimate the parameters based on the statistics. we create a model based on how correctly can we predict the values based on that model. even a point can be considered as a model but it will be a very naive model. first we need to perform some operation on the data points like plotting scatter plot or something and from which we can see and conclude that whether we have to use simple linear regression or we have to just create a single point as a model. for a particular model bias represents the net sum of all unaccountable variables. one set of samples will give one line but some other samples might give other line so we just create one of the very possible models. we need to estimate the confidence interval for values of b0 and b1. the best way to arrive at these values is by using sum of square of errors because it will magnify the error. the mean of the observation lies on the prediction line .we have closed form solution to calculate the values of a and b. b0 and b1r point estimates and we need to arrive at the possible interval within which these values will lie such that there is a very high chance that the predictable values that is the population parameters will lie within these intervals respectively","in this lecture we first learned about population and that sample should be good and representative. our goal is to predict or estimate population from sample and we can use operations like counting ,adding ,subtracting, multiplication and division. also, we have attributes like frequency or count, mode ,median ,mean, standard deviation ,variance if we estimate for population then it is called parameter and if we calculate for sample then it is called statistic. we want to estimate the parameters based on the statistics. we create a model based on how correctly can we predict the values based on that model. even a point can be considered as a model but it will be a very naive model. first we need to perform some operation on the data points like plotting scatter plot or something and from which we can see and conclude that whether we have to use simple linear regression or we have to just create a single point as a model. for a particular model bias represents the net sum of all unaccountable variables. one set of samples will give one line but some other samples might give other line so we just create one of the very possible models. we need to estimate the confidence interval for values of b0 and b1. the best way to arrive at these values is by using sum of square of errors because it will magnify the error. the mean of the observation lies on the prediction line .we have closed form solution to calculate the values of a and b. b0 and b1r point estimates and we need to arrive at the possible interval within which these values will lie such that there is a very high chance that the predictable values that is the population parameters will lie within these intervals respectively",1,35.69393,-8.116107,16.586077,3.822625,"population, models, estimating"
60,"in class, we picked up from where we left off, focusing on some key statistical concepts. we talked about terms from the data analysis toolpack, what they mean, how theyâ€™re connected, and how to interpret them visually, including the errors and uncertainties that can come with them.
we went over cases involving beta and beta 0 in specific scenarios, and we talked about the p-value and how it helps with feature selection. we also explored multiple linear regression and discussed how certain table values are specifically tied to it. toward the end, we introduced anova, talked about the f-statistic, and why itâ€™s important for it to be largeâ€”weâ€™ll dive deeper into that next class.","in class, we picked up from where we left off, focusing on some key statistical concepts. we talked about terms from the data analysis toolpack, what they mean, how they re connected, and how to interpret them visually, including the errors and uncertainties that can come with them. we went over cases involving beta and beta 0 in specific scenarios, and we talked about the p-value and how it helps with feature selection. we also explored multiple linear regression and discussed how certain table values are specifically tied to it. toward the end, we introduced anova, talked about the f-statistic, and why it s important for it to be large we ll dive deeper into that next class.",13,3.4379048,15.49256,12.474157,5.830917,"classification, classifying, classifications"
61,"in today's lecture, we used excel to perform linear regression. we started by opening a csv file, extracting the necessary parameters, and creating a scatter plot with a fitted linear trendline. additionally, we plotted a histogram and a scatter plot of the error values, which showed a distinct pattern. these plots, along with other factors, can be analyzed to evaluate the quality of a model.","in today's lecture, we used excel to perform linear regression. we started by opening a csv file, extracting the necessary parameters, and creating a scatter plot with a fitted linear trendline. additionally, we plotted a histogram and a scatter plot of the error values, which showed a distinct pattern. these plots, along with other factors, can be analyzed to evaluate the quality of a model.",5,18.595118,-6.34415,14.242687,5.128067,"regression, statistical, statistics"
62,"started with recap: all the values in 95% interval are not really distinct it's just we got the values by chance.
statistically significant and similar situation based on where the point is in the normal distribution. learnt with analogy to beta1 that it is statistically similar to zero.
stat similar so no regression. then we studied gradient descent method for mlr. where the various variable are termed as features. and the method to deal with it get it into right form like dividing height weight to get a feature of bmi which is more important for a data of health analysis. then we did a vector analysis where there is a coefficient matrix which gets updated based on where sum of sqaured error is minimized that is minimizing the cost function. then we saw this happening in excel sheet where various parameters were studies and understood it's context as to how good a model is.  we want a high f value to compare various models. r2 should be more close to 1. but majorly played with dropping variables to get the p values for the variables under 0.05 and avoid zero in the 95% interval.",started with recap: all the values in 95% interval are not really distinct it's just we got the values by chance. statistically significant and similar situation based on where the point is in the normal distribution. learnt with analogy to beta1 that it is statistically similar to zero. stat similar so no regression. then we studied gradient descent method for mlr. where the various variable are termed as features. and the method to deal with it get it into right form like dividing height weight to get a feature of bmi which is more important for a data of health analysis. then we did a vector analysis where there is a coefficient matrix which gets updated based on where sum of sqaured error is minimized that is minimizing the cost function. then we saw this happening in excel sheet where various parameters were studies and understood it's context as to how good a model is. we want a high f value to compare various models. r2 should be more close to 1. but majorly played with dropping variables to get the p values for the variables under 0.05 and avoid zero in the 95% interval.,2,16.664232,5.494636,12.588129,4.0150337,"regression, regressions, features"
63,"in todayâ€™s class, we covered different techniques for encoding categorical data. we started with feature encoding, where we learned about one-hot encoding and vectorization. one-hot encoding is useful for categorical data, but it can lead to the curse of dimensionality when the number of unique categories is very large. vectorization, on the other hand, helps convert text data into numerical form, which we only touched on briefly toward the end of the lecture.  

we also explored label encoding, which assigns a unique integer to each category. however, if the labels have a natural order (making them ordinal rather than nominal), using integer encoding would be more meaningful. for multiclass and multilabel problems, different encoding approaches may be required depending on the complexity of the data.  

binary encoding was another method we discussed, where each category is converted into a binary format, which helps reduce dimensionality â€” for example, three binary columns can represent up to eight classes. we also learned about frequency encoding, where the frequency of a category is used as its encoded value, and target encoding, where the encoding is based on the relationship between the category and the target variable.  

overall, the session introduced us to the challenges and trade-offs involved in different encoding methods and gave us a basic idea of how to handle text data through vectorization.","in today s class, we covered different techniques for encoding categorical data. we started with feature encoding, where we learned about one-hot encoding and vectorization. one-hot encoding is useful for categorical data, but it can lead to the curse of dimensionality when the number of unique categories is very large. vectorization, on the other hand, helps convert text data into numerical form, which we only touched on briefly toward the end of the lecture. we also explored label encoding, which assigns a unique integer to each category. however, if the labels have a natural order (making them ordinal rather than nominal), using integer encoding would be more meaningful. for multiclass and multilabel problems, different encoding approaches may be required depending on the complexity of the data. binary encoding was another method we discussed, where each category is converted into a binary format, which helps reduce dimensionality for example, three binary columns can represent up to eight classes. we also learned about frequency encoding, where the frequency of a category is used as its encoded value, and target encoding, where the encoding is based on the relationship between the category and the target variable. overall, the session introduced us to the challenges and trade-offs involved in different encoding methods and gave us a basic idea of how to handle text data through vectorization.",3,-42.69871,4.6160436,0.21261826,6.233514,"categorical, categorization, categorise"
64,"we looked at f1 matrix, confusion matrix, also we need to check if the confusion matrix has actual numbers in the table, either by checking the documentation or the data. 
a very frequent problem which we face is having a cleaned and sane dataset, hence we looked at how a general data analysis problem can go on, then we looked at crisp-dm and overview of itâ€™s six steps. the ta shubham sir then explained how the data can be collected and cleaned, and explained the concept of outliers, when the data is actually an outlier (for eg seasonal demand and festivities), and their importance, and that we cannot simply ignore them. we discussed how mean, medience are related to outliers and how they are affected by it","we looked at f1 matrix, confusion matrix, also we need to check if the confusion matrix has actual numbers in the table, either by checking the documentation or the data. a very frequent problem which we face is having a cleaned and sane dataset, hence we looked at how a general data analysis problem can go on, then we looked at crisp-dm and overview of it s six steps. the ta shubham sir then explained how the data can be collected and cleaned, and explained the concept of outliers, when the data is actually an outlier (for eg seasonal demand and festivities), and their importance, and that we cannot simply ignore them. we discussed how mean, medience are related to outliers and how they are affected by it",9,-11.33981,20.921549,8.857369,8.943191,"dataâ, analyse, analyses"
65,"today's session basically started off with some review of the previous lectures, where we discussed that how if the error plot is not random, and shows some non linear relation i.e. if there is a non linear relation between the independent and dependent variable, then we need to introduce polynomials of the independent variable also as features to our model. this is part of feature engineering, and using polynomial functions of the independent variable as a feature for the mlr model, is known as polynomial regression. we also discussed how any non-linear and non-polynomial relation (eg. sin, cos, log) can also be converted to a polynomial relation using taylor series expansion. we also learnt that even complex neural networks employed some kind of polynomial regression itself, in order to make good predictions.
then we moved on to data which displays different kinds of relation in different ranges. we saw that we could use a variety of models for such data, and we could even use multiple models for a single dataset in case there was a completely different relation. however using one single model for the entire dataset is always more beneficial and easier than using multiple models, as it will create complications when implementing for the test dataset. also in such cases, we concluded that the best method of finding out the best model for our data was to try out all possible models and then choose the one with the best prediction accuracy according to us. we saw the responses of various models over a dataset and we observed that even though one model (random forest) was fitting our data highly accurately, we observed that it might be too good a fit for our model to be able to make any useful predictions on the test data. however, some other models, although not fitting the data that accurately, were doing quite well at prediction as compared to random forest. hence, choosing them would be a better choice than choosing a model which accurately fits our data but is not able to make accurate predictions. 
we then moved on to logistic regression and classification. we noted that this scheme applies to nominal and ordinal levels of measurement and not to ratios as classes are discrete and need to be dealt with in that manner itself. we also said that unlike linear regression, logistic regression was not meant to predict the data values, but rather the class in which an observation belonged. the output of such a model is the class, and we are basically trying to predict the boundaries between the classes. the expression for calculation is somewhat similar to that of linear regression, however in this case, we use weights instead of coefficients (beta) as per the nomenclature. the idea behind both the regression algorithms was similar; to reach a mean or mediocre value. in linear regression we were trying to predict the value of data points based on the mean of observations, whereas here, we are trying to find the mean boundary between classes so that we can accurately classify our observation points.","today's session basically started off with some review of the previous lectures, where we discussed that how if the error plot is not random, and shows some non linear relation i.e. if there is a non linear relation between the independent and dependent variable, then we need to introduce polynomials of the independent variable also as features to our model. this is part of feature engineering, and using polynomial functions of the independent variable as a feature for the mlr model, is known as polynomial regression. we also discussed how any non-linear and non-polynomial relation (eg. sin, cos, log) can also be converted to a polynomial relation using taylor series expansion. we also learnt that even complex neural networks employed some kind of polynomial regression itself, in order to make good predictions. then we moved on to data which displays different kinds of relation in different ranges. we saw that we could use a variety of models for such data, and we could even use multiple models for a single dataset in case there was a completely different relation. however using one single model for the entire dataset is always more beneficial and easier than using multiple models, as it will create complications when implementing for the test dataset. also in such cases, we concluded that the best method of finding out the best model for our data was to try out all possible models and then choose the one with the best prediction accuracy according to us. we saw the responses of various models over a dataset and we observed that even though one model (random forest) was fitting our data highly accurately, we observed that it might be too good a fit for our model to be able to make any useful predictions on the test data. however, some other models, although not fitting the data that accurately, were doing quite well at prediction as compared to random forest. hence, choosing them would be a better choice than choosing a model which accurately fits our data but is not able to make accurate predictions. we then moved on to logistic regression and classification. we noted that this scheme applies to nominal and ordinal levels of measurement and not to ratios as classes are discrete and need to be dealt with in that manner itself. we also said that unlike linear regression, logistic regression was not meant to predict the data values, but rather the class in which an observation belonged. the output of such a model is the class, and we are basically trying to predict the boundaries between the classes. the expression for calculation is somewhat similar to that of linear regression, however in this case, we use weights instead of coefficients (beta) as per the nomenclature. the idea behind both the regression algorithms was similar; to reach a mean or mediocre value. in linear regression we were trying to predict the value of data points based on the mean of observations, whereas here, we are trying to find the mean boundary between classes so that we can accurately classify our observation points.",0,4.7593865,-1.1689985,10.240315,4.435754,"models, feature, features"
66,"we started our discussion with how to improve the quality of results:
1. by improving the sample --> quality of the sample
                                                 --> size of the sample (increasing it)
2. improve the method
    --> use multiple methods and use the best one.
3. fine tune/properly use the methods.

then we talked about linear regression:
where output is expressed as a linear combination of independent variables.
it is not necessary that the output has to be a line (linear).
like: x1->x1, x2->x1^2, x3->x1^3
y = b0 + b1*x1 + b2*x2 + ......

although, on increasing the number of features the adjusted r^2 value might reduce as we are adding more unnecessary features.","we started our discussion with how to improve the quality of results: 1. by improving the sample --> quality of the sample --> size of the sample (increasing it) 2. improve the method --> use multiple methods and use the best one. 3. fine tune/properly use the methods. then we talked about linear regression: where output is expressed as a linear combination of independent variables. it is not necessary that the output has to be a line (linear). like: x1->x1, x2->x1^2, x3->x1^3 y = b0 + b1*x1 + b2*x2 + ...... although, on increasing the number of features the adjusted r^2 value might reduce as we are adding more unnecessary features.",2,5.7525043,-5.4838824,9.686675,4.0831637,"regression, regressions, features"
67,"class started by the introduction to pivot table. we can find various parameters of a data like average of total characters, sum, min, max and std of the total characters. we analyzed the data of the submissions of summaries. we checked the histogram  for the average number of characters. we noticed that the majority of the portion lies in the lesser number of characters. we further created a box plot to find that there were some outliers in the data. 
we calculated the skewness and kurtosis and plotted a scatter plot to support the conclusion for outliers. 
we get shape of distribution by the histogram. other methods can help us know about the outliers. 
for the data, we explored the maximum submissions, the minimum submission, the number of times they have submitted. then, we went to ""who on which date submitted what length of submission?"". there were several missing values in the overall sheet. 
sir moved to the chemical plant data. we understood how data can be calculated for every 5 min or every hour. but it will just explode the data. to find the inner fluctuations, we need to dub up data. on using pivot table, we found that a lot of data is missing. we went to the min, max and average value of the data. we found an anomaly: min value for zero for a parameter. to check the place in which the error occurred we cut down the observations into small chunks until we found it. on plotting this data, these anomalies were clearly visible. we also created histogram and box plots. it is a good practice to create all the images and view them at once. we noticed how the plots with and without outliers look different from one another.  later, we proceeded to see the documentation of the data. in the anomaly and questions were highlighted. we do not want to exclude feature that may be useful. we went on to check how many of the variables are independent. we noticed that out of these hundreds of data rows. we only need 17 principle component or 17 independent process to describe the entire process. also, we can reorganize data and bring similar observation together. this makes the heatmap look better. 
we also checked for the data obtained from a transformer operations. the incomplete can be from sensor failure or device failure. we noticed how there can be points where hypothesis can be generated and we need to decide if to accept it or reject it. quality of input depends on the quality of our exploratory data analysis.","class started by the introduction to pivot table. we can find various parameters of a data like average of total characters, sum, min, max and std of the total characters. we analyzed the data of the submissions of summaries. we checked the histogram for the average number of characters. we noticed that the majority of the portion lies in the lesser number of characters. we further created a box plot to find that there were some outliers in the data. we calculated the skewness and kurtosis and plotted a scatter plot to support the conclusion for outliers. we get shape of distribution by the histogram. other methods can help us know about the outliers. for the data, we explored the maximum submissions, the minimum submission, the number of times they have submitted. then, we went to ""who on which date submitted what length of submission?"". there were several missing values in the overall sheet. sir moved to the chemical plant data. we understood how data can be calculated for every 5 min or every hour. but it will just explode the data. to find the inner fluctuations, we need to dub up data. on using pivot table, we found that a lot of data is missing. we went to the min, max and average value of the data. we found an anomaly: min value for zero for a parameter. to check the place in which the error occurred we cut down the observations into small chunks until we found it. on plotting this data, these anomalies were clearly visible. we also created histogram and box plots. it is a good practice to create all the images and view them at once. we noticed how the plots with and without outliers look different from one another. later, we proceeded to see the documentation of the data. in the anomaly and questions were highlighted. we do not want to exclude feature that may be useful. we went on to check how many of the variables are independent. we noticed that out of these hundreds of data rows. we only need 17 principle component or 17 independent process to describe the entire process. also, we can reorganize data and bring similar observation together. this makes the heatmap look better. we also checked for the data obtained from a transformer operations. the incomplete can be from sensor failure or device failure. we noticed how there can be points where hypothesis can be generated and we need to decide if to accept it or reject it. quality of input depends on the quality of our exploratory data analysis.",9,-9.293209,23.49369,8.027476,10.175662,"dataâ, analyse, analyses"
68,"true positive rate vs fast positive rate plot for different thresholds is called receiver operating characteristics curve. for random guess model, this curve is y=x. area under this curve should be as close to 1 for good classification models.

classification problems when data labels are not available is clustering problem where model have to find clusters in dataset, one cluster means same label points.
in k-means clustering algorithm, initially k clusters are assigned randomly and cluster centers are iteratively updated based on distance from data points until cluster center stops changing.

hierarchical clustering starts with each data point as a separate cluster. gradually, the nearest clusters or points are merged step by step until all points form a single cluster. this merging process is visually represented using a dendrogram, where making a horizontal cut at any level reveals a possible clustering structure with a specific number of groups.","true positive rate vs fast positive rate plot for different thresholds is called receiver operating characteristics curve. for random guess model, this curve is y=x. area under this curve should be as close to 1 for good classification models. classification problems when data labels are not available is clustering problem where model have to find clusters in dataset, one cluster means same label points. in k-means clustering algorithm, initially k clusters are assigned randomly and cluster centers are iteratively updated based on distance from data points until cluster center stops changing. hierarchical clustering starts with each data point as a separate cluster. gradually, the nearest clusters or points are merged step by step until all points form a single cluster. this merging process is visually represented using a dendrogram, where making a horizontal cut at any level reveals a possible clustering structure with a specific number of groups.",8,-5.8690076,-21.392376,6.300155,0.38355398,"classification, clusterings, classifying"
69,"simple linear regression (slr) and the statistical foundations of sampling distributions....explains how regression metrics like 
1)sse
2) mse
3)rmse
4) mae
5) r^2
...which help assess model accuracy by measuring variation in data

repeated sampling leads to a normal distribution of sample means (as per the central limit theorem), making statistical inference possible","simple linear regression (slr) and the statistical foundations of sampling distributions....explains how regression metrics like 1)sse 2) mse 3)rmse 4) mae 5) r^2 ...which help assess model accuracy by measuring variation in data repeated sampling leads to a normal distribution of sample means (as per the central limit theorem), making statistical inference possible",5,27.707706,1.7206012,14.617102,3.9856415,"regression, statistical, statistics"
70,"in class today, sir explained various feature encoding techniques. he began with label encoding, which assigns unique integers to each category. the second method is integer encoding, suitable for ordinal variable categorization. then came binary encoding, a more compact representation, in which three columns can depict eight classes. frequency encoding involves replacing categories with their occurrence counts, while target encoding allocates values based on the target variable statistics. one-hot encoding is particularly useful when it comes to multi-class and multi-label problems, but it suffers heavily from the curse of dimensionality. in conclusion, a brief introduction to text vectorization techniques, which are techniques to convert text into numerical representations, was also introduced.","in class today, sir explained various feature encoding techniques. he began with label encoding, which assigns unique integers to each category. the second method is integer encoding, suitable for ordinal variable categorization. then came binary encoding, a more compact representation, in which three columns can depict eight classes. frequency encoding involves replacing categories with their occurrence counts, while target encoding allocates values based on the target variable statistics. one-hot encoding is particularly useful when it comes to multi-class and multi-label problems, but it suffers heavily from the curse of dimensionality. in conclusion, a brief introduction to text vectorization techniques, which are techniques to convert text into numerical representations, was also introduced.",3,-42.127804,4.918571,0.24048172,6.0606937,"categorical, categorization, categorise"
71,"in today's session, we first discuss what we are going to cover next in the course, including feature engineering, data engineering, data preparation, big data, cloud computing, and tools in the cloud, etc. we further discussed the upcoming project and exercises. then we discussed the feature encoding irrespective of the kind of dependence of y, whether it is dependent on categorical variables, they must be converted to a numerical value. there are 6 types of encoding as follows:
label encoding: we assign a unique integer to each category, like red:0, blue:1, or green:2, but these already assign an ordinal relationship in the data, and we should apply this to y rather than x. 
one-hot encoding: converting categories into vectors like red:(1,0,0), blue:(0,1,0), and green:(0,0,1), but here we increase the dimensionality in the data. 
binary encoding: converts the categorical values into separate binary columns as a:00, b:01, c:10, d:11, this is similar to pseudo one-hot encoding, but here we reduce the dimensionality comparatively, still has various columns. 
integer encoding: somewhat similar to label but used in tree-based models mainly. frequency encoding: assigning the frequency of the categorical variable in the dataset. target encoding: replaces categories with the mean of the target variable for each category. 
for the y=f(x) we simply use one-hot encoding for the x-side and the y-side, consider everything, one or multiple labels based on the problem, and apply appropriate models. we further learn about feature binning, where we change continuous numerical features into categorical features and then use the classification model. at last, we see about llm in which statistical processing can generate deterministic output and we will mainly use it for code generation.","in today's session, we first discuss what we are going to cover next in the course, including feature engineering, data engineering, data preparation, big data, cloud computing, and tools in the cloud, etc. we further discussed the upcoming project and exercises. then we discussed the feature encoding irrespective of the kind of dependence of y, whether it is dependent on categorical variables, they must be converted to a numerical value. there are 6 types of encoding as follows: label encoding: we assign a unique integer to each category, like red:0, blue:1, or green:2, but these already assign an ordinal relationship in the data, and we should apply this to y rather than x. one-hot encoding: converting categories into vectors like red:(1,0,0), blue:(0,1,0), and green:(0,0,1), but here we increase the dimensionality in the data. binary encoding: converts the categorical values into separate binary columns as a:00, b:01, c:10, d:11, this is similar to pseudo one-hot encoding, but here we reduce the dimensionality comparatively, still has various columns. integer encoding: somewhat similar to label but used in tree-based models mainly. frequency encoding: assigning the frequency of the categorical variable in the dataset. target encoding: replaces categories with the mean of the target variable for each category. for the y=f(x) we simply use one-hot encoding for the x-side and the y-side, consider everything, one or multiple labels based on the problem, and apply appropriate models. we further learn about feature binning, where we change continuous numerical features into categorical features and then use the classification model. at last, we see about llm in which statistical processing can generate deterministic output and we will mainly use it for code generation.",3,-43.109966,2.6888068,0.04573987,6.35603,"categorical, categorization, categorise"
72,"we looked at three ways to improve the quality of results: improving the sample, improving the method, and fine-tuning existing methods. from there, we moved on to multiple linear regression (mlr) for nonlinear cases, where we used feature engineering to add polynomial terms like  and trigonometric functions like . this led us to polynomial regression. we noticed that as we added more terms, adjusted  tended to drop, and only the most significant terms remained based on p-values.

we also explored forward and backward feature selection and the risk of overfitting. when dealing with nonlinear models that combine trigonometry and linear elements, we considered whether a single model could handle both instead of relying on separate approaches. random forest turned out to be a method that naturally does this by combining different models.

along the way, we compared parametric and non-parametric methods, introduced delta analysis, and briefly touched on neural networks and deep learning, particularly models with multiple hidden layers. finally, we wrapped up with classification, covering regression vs. logistic regression, the concept of weights, and the sigmoid function, including its graphs and explanations.","we looked at three ways to improve the quality of results: improving the sample, improving the method, and fine-tuning existing methods. from there, we moved on to multiple linear regression (mlr) for nonlinear cases, where we used feature engineering to add polynomial terms like and trigonometric functions like . this led us to polynomial regression. we noticed that as we added more terms, adjusted tended to drop, and only the most significant terms remained based on p-values. we also explored forward and backward feature selection and the risk of overfitting. when dealing with nonlinear models that combine trigonometry and linear elements, we considered whether a single model could handle both instead of relying on separate approaches. random forest turned out to be a method that naturally does this by combining different models. along the way, we compared parametric and non-parametric methods, introduced delta analysis, and briefly touched on neural networks and deep learning, particularly models with multiple hidden layers. finally, we wrapped up with classification, covering regression vs. logistic regression, the concept of weights, and the sigmoid function, including its graphs and explanations.",0,-1.528819,-2.930125,9.122649,4.5211954,"models, feature, features"
73,"we learnt about the closed form solution in multiple linear regression but found that it is not feasible as we have to deal with matrix inversion and multi collinearity. also during selection of features if p value is greater than 0.05 we can ignore that feature as it is not impacting much. then we learnt about train and test data today . normally we use 80-20 %. we are advised to never ever use 100% test data as that will not benefit.we also saw if râ² values of training and testing matrixes are close enough then overfit can occur. we also saw what is adjusted râ², multiple r and why is there only n-1 degree of freedom in total sum of squares when there are n observations because the formula is such that one degree of freedom is already used.","we learnt about the closed form solution in multiple linear regression but found that it is not feasible as we have to deal with matrix inversion and multi collinearity. also during selection of features if p value is greater than 0.05 we can ignore that feature as it is not impacting much. then we learnt about train and test data today . normally we use 80-20 %. we are advised to never ever use 100% test data as that will not benefit.we also saw if r values of training and testing matrixes are close enough then overfit can occur. we also saw what is adjusted r , multiple r and why is there only n-1 degree of freedom in total sum of squares when there are n observations because the formula is such that one degree of freedom is already used.",2,8.1297,8.2760515,11.452173,4.994998,"regression, regressions, features"
74,"we started our discussion with multiple linear regression. we saw that we can derive more features from given features also that might help us in fitting a better curve. with more features the adjusted r2-score decreases. and hence in a situation of more features we should analyze the p-values of all the features, the features which best signify the dataset will have lower p-value and one with higher p-values can be dropped. if we force a model to fit the training data then it would lead to overfitting and the model will not able to generalize well. the dimensionality of the problem can be reduced using methods like pca or t-sne etc. we should try multiple models from linear-regression to xgboost etc. and one which performs best should be chosen. then we switched to classification and discussed about it. we started discussing about logistic regression. looked into logit/sigmoid function and it's plot.","we started our discussion with multiple linear regression. we saw that we can derive more features from given features also that might help us in fitting a better curve. with more features the adjusted r2-score decreases. and hence in a situation of more features we should analyze the p-values of all the features, the features which best signify the dataset will have lower p-value and one with higher p-values can be dropped. if we force a model to fit the training data then it would lead to overfitting and the model will not able to generalize well. the dimensionality of the problem can be reduced using methods like pca or t-sne etc. we should try multiple models from linear-regression to xgboost etc. and one which performs best should be chosen. then we switched to classification and discussed about it. we started discussing about logistic regression. looked into logit/sigmoid function and it's plot.",0,0.0071329335,-3.0176234,9.551657,4.506269,"models, feature, features"
75,"1. we started off with the exploratory data analysis, the ability to visualise given data and analyse its various patterns based on various histogram, and plots.
2. main factors for solving a machine learning problem include domain knowledge, communication and critical thinking about problem
3. sources of data, lot of anamolies and real world data isnâ€™t close to the pre processed easy to handle data
4. got to know about crisp: cross industry process for data mining. data understanding: eda, data preperation: selecting, cleaning, construction and formatting
5. importance of hypothesis testing, the two tests that checks whether the errors follow normal distribution or not
6. talked about the data mind map consisting various problems with major branches like dependent variable and independent variable
and various problems such as column problem, heteroscelasticity, across the column problems, insuffuficent features.
7. talked about various methods to remove anamolies, one being feeding in the value of mean or the value obtained by fitting a curve, it can be the value of k nearest beighbour
8. talked about pca, about projection of higher dimensional data into a 2d plane to detect various outliers.","1. we started off with the exploratory data analysis, the ability to visualise given data and analyse its various patterns based on various histogram, and plots. 2. main factors for solving a machine learning problem include domain knowledge, communication and critical thinking about problem 3. sources of data, lot of anamolies and real world data isn t close to the pre processed easy to handle data 4. got to know about crisp: cross industry process for data mining. data understanding: eda, data preperation: selecting, cleaning, construction and formatting 5. importance of hypothesis testing, the two tests that checks whether the errors follow normal distribution or not 6. talked about the data mind map consisting various problems with major branches like dependent variable and independent variable and various problems such as column problem, heteroscelasticity, across the column problems, insuffuficent features. 7. talked about various methods to remove anamolies, one being feeding in the value of mean or the value obtained by fitting a curve, it can be the value of k nearest beighbour 8. talked about pca, about projection of higher dimensional data into a 2d plane to detect various outliers.",9,-15.024477,20.055597,8.936162,9.136598,"dataâ, analyse, analyses"
76,today we continued discussing about logistic regression the class began with the  demonstration of artificial neural networks and we learnt that selecting appropriate and relevant number of features is very important. we then revisited the logistic regression metrices and a new metric was introduced today and that was roc graph which tells us that how many true positives did the model predict before predicting the false positives and for a good model which can make a boundary between two clusters then the area under the curve must be close to 1 if the data is not good and if there is too much overlap of the data then in such cases the area under the curve will be close to 0.5. we then saw two examples of logistic regression one showing how to interpret the metrices like accuracy. precision and confusion matrix. we looked at another example where there were four clusters in the data but one had class imbalance and we could clearly see in the roc curve that specific class had very low area under the curve. we looked at clustering methods mainly k-means and hierarchical clustering. the main difference between these two is that we have to specify  number of cluster we want in k-means but the hierarchical clustering considers every data point as a cluster and then starts making broader groups. k-means works on taking the n-means and then starts calculating the euclidean distance between other points which ever is close to the nth mean it is classified into that cluster. hierarchical clustering uses indivdual points as a cluster and then finds which element is close to it forms a bigger cluster with that now distance between this cluster and other cluster is calculated and which ever is smaller is taken in to form a bigger cluster,today we continued discussing about logistic regression the class began with the demonstration of artificial neural networks and we learnt that selecting appropriate and relevant number of features is very important. we then revisited the logistic regression metrices and a new metric was introduced today and that was roc graph which tells us that how many true positives did the model predict before predicting the false positives and for a good model which can make a boundary between two clusters then the area under the curve must be close to 1 if the data is not good and if there is too much overlap of the data then in such cases the area under the curve will be close to 0.5. we then saw two examples of logistic regression one showing how to interpret the metrices like accuracy. precision and confusion matrix. we looked at another example where there were four clusters in the data but one had class imbalance and we could clearly see in the roc curve that specific class had very low area under the curve. we looked at clustering methods mainly k-means and hierarchical clustering. the main difference between these two is that we have to specify number of cluster we want in k-means but the hierarchical clustering considers every data point as a cluster and then starts making broader groups. k-means works on taking the n-means and then starts calculating the euclidean distance between other points which ever is close to the nth mean it is classified into that cluster. hierarchical clustering uses indivdual points as a cluster and then finds which element is close to it forms a bigger cluster with that now distance between this cluster and other cluster is calculated and which ever is smaller is taken in to form a bigger cluster,8,-3.3991225,-21.22836,6.289307,0.34907144,"classification, clusterings, classifying"
